taco_id,original,display
1,"Arroz, integral, cozido",Arroz integral cozido
2,"Arroz, integral, cru",Arroz integral cru
3,"Arroz, tipo 1, cozido",Arroz tipo 1 cozido
4,"Arroz, tipo 1, cru",Arroz tipo 1 cru
5,"Arroz, tipo 2, cozido",Arroz tipo 2 cozido
6,"Arroz, tipo 2, cru",Arroz tipo 2 cru
7,"Aveia, flocos, crua",Aveia flocos crua
8,"Biscoito, doce, maisena",Biscoito doce maisena
9,"Biscoito, doce, recheado com chocolate",Biscoito doce recheado com chocolate
10,"Biscoito, doce, recheado com morango",Biscoito doce recheado com morango
11,"Biscoito, doce, wafer, recheado de chocolate",Biscoito doce wafer recheado de chocolate
12,"Biscoito, doce, wafer, recheado de morango",Biscoito doce wafer recheado de morango
13,"Biscoito, salgado, cream cracker",Biscoito salgado cream cracker
14,"Bolo, mistura para",Bolo mistura para
15,"Bolo, pronto, aipim",Bolo pronto aipim
16,"Bolo, pronto, chocolate",Bolo pronto chocolate
17,"Bolo, pronto, coco",Bolo pronto coco
18,"Bolo, pronto, milho",Bolo pronto milho
19,"Canjica, branca, crua",Canjica branca crua
20,"Canjica, com leite integral",Canjica com leite integral
21,"Cereais, milho, flocos, com sal",Cereais milho flocos com sal
22,"Cereais, milho, flocos, sem sal",Cereais milho flocos sem sal
23,"Cereais, mingau, milho, infantil",Cereais mingau milho infantil
24,"Cereais, mistura para vitamina, trigo, cevada e aveia",Cereais mistura para vitamina trigo cevada e aveia
25,"Cereal matinal, milho",Cereal matinal milho
26,"Cereal matinal, milho, açúcar",Cereal matinal milho açúcar
27,"Creme de arroz, pó",Creme de arroz pó
28,"Creme de milho, pó",Creme de milho pó
29,"Curau, milho verde",Curau milho verde
30,"Curau, milho verde, mistura para",Curau milho verde mistura para
31,"Farinha, de arroz, enriquecida",Farinha de arroz enriquecida
32,"Farinha, de centeio, integral",Farinha de centeio integral
33,"Farinha, de milho, amarela",Farinha de milho amarela
34,"Farinha, de rosca",Farinha de rosca
35,"Farinha, de trigo",Farinha de trigo
36,"Farinha, láctea, de cereais",Farinha láctea de cereais
37,"Lasanha, massa fresca, cozida",Lasanha massa fresca cozida
38,"Lasanha, massa fresca, crua",Lasanha massa fresca crua
39,"Macarrão, instantâneo",Macarrão instantâneo
40,"Macarrão, trigo, cru",Macarrão cru
41,"Macarrão, trigo, cru, com ovos",Macarrão cru com ovos
42,"Milho, amido, cru",Milho amido cru
43,"Milho, fubá, cru",Milho fubá cru
44,"Milho, verde, cru",Milho verde cru
45,"Milho, verde, enlatado, drenado",Milho verde enlatado drenado
46,"Mingau tradicional, pó",Mingau tradicional pó
47,"Pamonha, barra para cozimento, pré-cozida",Pamonha barra para cozimento pré-cozida
48,"Pão, aveia, forma",Pão aveia forma
49,"Pão, de soja",Pão de soja
50,"Pão, glúten, forma",Pão glúten forma
51,"Pão, milho, forma",Pão milho forma
52,"Pão, trigo, forma, integral",Pão forma integral
53,"Pão, trigo, francês",Pão francês
54,"Pão, trigo, sovado",Pão sovado
55,"Pastel, de carne, cru",Pastel de carne cru
56,"Pastel, de carne, frito",Pastel de carne frito
57,"Pastel, de queijo, cru",Pastel de queijo cru
58,"Pastel, de queijo, frito",Pastel de queijo frito
59,"Pastel, massa, crua",Pastel massa crua
60,"Pastel, massa, frita",Pastel massa frita
61,"Pipoca, com óleo de soja, sem sal",Pipoca com óleo de soja sem sal
62,"Polenta, pré-cozida",Polenta pré-cozida
63,"Torrada, pão francês",Torrada pão francês
64,"Abóbora, cabotian, cozida",Abóbora cabotian cozida
65,"Abóbora, cabotian, crua",Abóbora cabotian crua
66,"Abóbora, menina brasileira, crua",Abóbora menina brasileira crua
67,"Abóbora, moranga, crua",Abóbora moranga crua
68,"Abóbora, moranga, refogada",Abóbora moranga refogada
69,"Abóbora, pescoço, crua",Abóbora pescoço crua
70,"Abobrinha, italiana, cozida",Abobrinha italiana cozida
71,"Abobrinha, italiana, crua",Abobrinha italiana crua
72,"Abobrinha, italiana, refogada",Abobrinha italiana refogada
73,"Abobrinha, paulista, crua",Abobrinha paulista crua
74,"Acelga, crua",Acelga crua
75,"Agrião, cru",Agrião cru
76,"Aipo, cru",Aipo cru
77,"Alface, americana, crua",Alface americana crua
78,"Alface, crespa, crua",Alface crespa crua
79,"Alface, lisa, crua",Alface lisa crua
80,"Alface, roxa, crua",Alface roxa crua
81,"Alfavaca, crua",Alfavaca crua
82,"Alho, cru",Alho cru
83,"Alho-poró, cru",Alho-poró cru
84,"Almeirão, cru",Almeirão cru
85,"Almeirão, refogado",Almeirão refogado
86,"Batata, baroa, cozida",Batata baroa cozida
87,"Batata, baroa, crua",Batata baroa crua
88,"Batata, doce, cozida",Batata doce cozida
89,"Batata, doce, crua",Batata doce crua
90,"Batata, frita, tipo chips, industrializada",Batata frita tipo chips industrializada
91,"Batata, inglesa, cozida",Batata inglesa cozida
92,"Batata, inglesa, crua",Batata inglesa crua
