page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
10,Abacate,161.0,7.4,15.3,1.99,4.1,False,"Abacate, cru",0.5
10,Abacaxi,49.0,12.4,0.43,0.39,1.2,False,"Abacaxi, cru",0.5
10,Abóbora moranga (cozida),19.99,4.88,0.08,0.73,0.92,False,"Abóbora, cabotian, cozida",0.5
10,Acerola,31.6,7.6,0.3,0.4,1.12,False,"Acerola, crua",0.5
10,Achocolatado dietético em pó-Gold®,327.8,57.0,5.6,12.2,,False,"Achocolatado, pó",0.5
10,Achocolatado em pó -Tal & Qual®,306.0,68.54,7.96,10.98,12.06,False,"Achocolatado, pó",0.5
11,Ades® (sabor abacaxi),44.0,10.0,0.2,0.6,,False,"Iogurte, sabor abacaxi",0.5
11,Ades® (sabor pêssego),44.0,10.0,0.2,0.6,,False,"Iogurte, sabor pêssego",0.5
11,Adoçante em pó -Tal & Qual®,367.0,91.75,,,,False,Adoçante em pó,0.5
11,Adoçante em pó -Doce Menor®,367.5,,,,,False,Adoçante em pó,0.5
11,Adoçante em pó -Zero Cal®,400.0,,,,,False,Adoçante em pó,0.5
11,Adoçante em pó frutose- Vepê®,400.0,,,,,False,Adoçante em pó,0.5
12,Agrião,17.22,2.03,0.3,1.6,1.47,False,"Agrião, cru",0.5
12,Água,0.0,0.0,0.0,0.0,0.0,False,"Coco, água de",0.5
12,Água de coco verde -Ducôco®,20.0,5.5,0.05,0.1,,False,"Coco, água de",0.5
12,Água de coco verde -Quero Coco®,19.0,5.0,0.05,0.1,,False,"Coco, água de",0.5
12,Água de coco verde -Trairi®,22.0,4.78,0.2,0.3,,False,"Coco, água de",0.5
13,Alho,149.0,33.1,0.5,6.37,2.1,False,"Alho, cru",0.5
13,Almeirão,23.0,4.71,0.3,1.71,3.81,False,"Almeirão, cru",0.5
13,Amêndoa torrada com sal,587.0,24.2,51.6,16.3,9.95,False,"Amêndoa, torrada, salgada",0.5
14,Amêndoa torrada sem sal,587.0,24.2,51.6,1.0,16.3,False,"Amêndoa, torrada, salgada",0.5
14,Amendoim cru com pele,570.0,15.8,49.6,26.2,6.33,False,"Amendoim, grão, cru",0.5
14,Amendoim torrado com sal,570.0,15.8,49.6,26.2,6.33,False,"Amendoim, torrado, salgado",0.5
14,Amido de milho-Maizena PADRÃO,381.0,91.3,0.05,0.26,0.9,False,"Milho, amido, cru",0.4
14,Arroz branco (cozido),124.69,25.47,1.18,2.32,0.49,False,"Arroz, integral, cozido",0.5
14,Arroz branco (cru),365.0,80.0,0.66,7.14,1.3,False,"Arroz, integral, cru",0.5
15,Arroz integral Jlarboilizado -Uncle,340.0,73.0,2.5,,,False,"Arroz, integral, cozido",0.4
15,Atum grated em óleo comestível,231.0,,15.0,,,False,"Atum, conserva em óleo",0.4
15,Atum sólido em óleo comestível,209.0,,12.0,,,False,"Atum, conserva em óleo",0.4
15,Aveia em flocos finos-Quaker®,390.0,61.0,10.0,12.0,10.0,False,"Aveia, flocos, crua",0.4
15,Azeite de oliva,884.0,0.0,100.0,0.0,0.0,False,"Azeite, de oliva, extra virgem",0.5
16,Baião de dois,138.0,26.2,2.1,2.9,0.3,False,"Baião de dois, arroz e feijão-de-corda",0.4
17,"Batata ""sauté"" I",14.55,18.85,3.87,0.65,,False,"Batata, inglesa, sauté",0.5
17,Batata chips,126.68,16.9,6.04,1.95,1.5,False,"Batata, frita, tipo chips, industrializada",0.4
17,Batata frita -Fritcx®,518.7,,,6.5,,False,"Batata, inglesa, frita",0.5
17,Batata frita (palito),139.01,18.61,6.77,1.6,1.21,False,"Batata, inglesa, frita",0.5
17,Batata frita Crocantcx -Fritex®,518.8,,,6.5,,False,"Batata, inglesa, frita",0.4
18,Batata frita Natural -Pringles®,607.1,57.14,41.07,5.36,3.57,False,"Batata, inglesa, frita",0.4
18,Bebida láctea chocolate Cholat,102.0,,,,,False,"Bebida láctea, pêssego",0.4
18,Bebida láctea morango -Chamy,84.0,16.1,1.2,,,False,"Bebida láctea, pêssego",0.4
18,Bebida láctea morango surpresa,107.6,17.93,2.69,,,False,"Bebida láctea, pêssego",0.4
19,IJifc grelhado de contra filé,195.0,,7.21,30.4,0.0,False,"Carne, bovina, contra-filé de costela, grelhado",0.429
20,"Biscoito ""wafer"" chocolate -Lanche",496.0,71.0,0.6,,,False,"Biscoito, doce, wafer, recheado de chocolate",0.5
20,"Biscoito ""wafer"" chocolate-São Luíz",508.0,68.2,23.9,,,False,"Biscoito, doce, wafer, recheado de chocolate",0.429
20,"Biscoito ""wafer"" chocolate-Tostines",527.0,64.3,27.2,,,False,"Biscoito, doce, wafer, recheado de chocolate",0.5
20,"Biscoito ""wafer"" chocolate com avelã-",500.0,64.3,23.9,,,False,"Biscoito, doce, wafer, recheado de chocolate",0.5
20,"Biscoito ""wafer"" doce de leite-São",511.0,66.5,25.0,,,False,"Biscoito, doce, wafer, recheado de chocolate",0.429
20,"Biscoito ""wafer"" leite condensado com",514.0,60.2,26.4,,,False,"Leite, condensado",0.5
20,"Biscoito ""wafer"" leite condensado e",532.0,63.4,28.0,,,False,"Leite, condensado",0.5
20,"Biscoito ""wafer"" leite condensado e",526.0,66.2,27.0,,,False,"Leite, condensado",0.5
20,"Biscoito ""wafer"" morango -Lanche",500.0,72.0,20.0,,,False,"Biscoito, doce, wafer, recheado de morango",0.5
20,"Biscoito ""wafer"" morango-São Luíz 5",12.0,68.82,24.4,,,False,"Biscoito, doce, wafer, recheado de morango",0.375
20,"Biscoito ""wafer"" morango-Tostines",539.0,63.8,29.3,,,False,"Biscoito, doce, wafer, recheado de morango",0.5
22,Biscoito doce Tostitas -Tostines,429.0,76.8,10.2,,,False,"Biscoito, doce, maisena",0.4
23,Biscoito Passatempo recheado,490.0,68.6,20.9,,,False,"Biscoito, doce, recheado com chocolate",0.4
23,Biscoito recheado leite condensado com,494.0,69.0,21.0,,,False,"Leite, condensado",0.5
25,Bisteca de porco assada,131.77,1.33,5.14,18.91,0.18,False,"Porco, bisteca, crua",0.5
26,Bolo de chocolate -Octker®*,399.4,35.84,23.78,8.8,,False,"Bolo, pronto, chocolate",0.5
26,Bolo de chocolate -Pullman®,377.0,64.0,10.49,6.6,,False,"Bolo, pronto, chocolate",0.5
26,Bolo de chocolate -Royal®*,336.7,48.0,17.0,7.0,,False,"Bolo, pronto, chocolate",0.5
26,Bolo de chocolate -Sadia®*,259.0,33.3,11.5,5.7,,False,"Bolo, pronto, chocolate",0.5
26,"Bolo de chocolate ""brownie"" -Royal®*",375.0,60.0,13.9,6.39,,False,"Bolo, pronto, chocolate",0.4
26,Bolo de chocolate recheio creme,340.0,55.83,8.21,,,False,"Bolo, pronto, chocolate",0.4
26,Bolo de coco -Oetker®*,397.7,36.29,23.46,8.68,,False,"Bolo, pronto, coco",0.5
26,Bolo de coco -Pullman®,372.0,61.7,11.1,6.35,,False,"Bolo, pronto, coco",0.5
26,Bolo de coco -Royal®*,346.6,50.83,14.5,6.33,,False,"Bolo, pronto, coco",0.5
26,Bolo de coco -Sol®*,265.0,36.03,10.02,7.54,,False,"Bolo, pronto, coco",0.5
27,Bolo frappé coco e chocolate,375.0,62.0,,,,False,"Bolo, pronto, chocolate",0.4
28,Braço sem capa de gordura (cru),250.9,0.0,13.09,31.09,0.0,False,"Presunto, com capa de gordura",0.4
29,Broto de bambu (cru),27.0,5.21,0.3,2.61,2.2,False,"Feijão, broto, cru",0.5
29,Broto de feijão (cozido) 1,21.0,4.2,0.09,2.04,0.8,False,"Feijão, broto, cru",0.5
29,Café com açúcar (infusão),37.21,9.08,0.01,0.3,0.0,False,"Café, infusão 10%",0.5
29,Café sem açúcar (infusão),6.5,1.11,0.01,0.33,0.0,False,"Café, infusão 10%",0.5
