page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
10,Abóbora moranga (crua),40.0,9.8,0.3,1.2,0.6,False,"Abóbora, moranga, crua",1.0
10,Abobrinha (cozida),20.0,4.32,0.31,0.91,1.4,False,"Abobrinha, italiana, cozida",0.667
10,Abobrinha (crua),20.0,4.36,0.21,1.19,1.9,False,"Abobrinha, italiana, crua",0.667
10,Acarajé,278.0,22.3,15.6,13.1,1.8,False,Acarajé,1.0
10,Acelga (crua),19.0,3.75,0.2,1.0,,False,"Acelga, crua",1.0
11,Açúcar cristal,387.0,99.9,0.0,,0.0,False,"Açúcar, cristal",1.0
11,Açúcar mascavo,376.0,97.3,0.0,0.0,0.0,False,"Açúcar, mascavo",1.0
11,Açúcar refinado,387.0,99.9,0.0,0.0,0.0,False,"Açúcar, refinado",1.0
11,Adoçante em pó -Aspasweet®,397.5,,,,,False,Adoçante em pó,0.667
11,Adoçante em pó -Finn®,400.0,,,,,False,Adoçante em pó,0.667
11,Adoçante em pó -Frutak®,350.0,,,,,False,Adoçante em pó,0.667
12,Água de coco verde,19.0,3.72,0.2,0.72,1.11,False,"Coco, água de",0.667
12,Aipo (cru),16.0,3.66,0.14,0.75,1.5,False,"Aipo, cru",1.0
13,Alface lisa,18.0,3.51,0.3,1.31,1.27,False,"Alface, lisa, crua",0.667
13,Alho poró,61.0,14.2,0.3,1.51,2.5,False,"Alho-poró, cru",0.667
14,Apresuntado,463.0,1.1,45.2,11.9,0.0,False,Apresuntado,1.0
14,Arroz integral (cozido),76.76,14.56,1.34,1.5,0.66,False,"Arroz, integral, cozido",1.0
14,Arroz integral (cru),370.0,77.2,2.93,7.95,3.5,False,"Arroz, integral, cru",1.0
15,Atum (cru),144.0,0.0,4.91,23.3,0.0,False,"Atum, fresco, cru",0.667
15,Azeite de dendê,878.0,0.4,99.1,,,False,"Azeite, de dendê",1.0
16,Azeitona verde,116.0,1.3,12.7,1.4,1.0,False,"Azeitona, verde, conserva",0.667
16,Bacalhau (cru),82.0,,0.67,17.8,0.0,False,"Bacalhau, salgado, cru",0.667
17,Barreado,280.5,2.89,12.63,37.06,0.47,False,Barreado,1.0
17,Batata cozida,87.0,20.0,,0.88,,False,"Batata, baroa, cozida",0.667
17,Batata crua,79.0,18.0,0.1,2.08,1.6,False,"Batata, baroa, crua",0.667
17,Batata doce cozida sem sal I,5.0,24.3,0.3,1.66,2.3,False,"Batata, doce, cozida",0.6
19,Berinjela (cozida),28.0,6.65,0.23,0.83,2.5,False,"Berinjela, cozida",1.0
19,Berinjela (crua),26.0,6.08,0.18,1.03,2.5,False,"Berinjela, crua",1.0
19,Beterraba (crua),43.0,9.57,0.17,0.62,2.8,False,"Beterraba, crua",1.0
19,"Bife ""rolê"" de contra filé",354.69,,94.0,17.86,0.45,False,"Bife à cavalo, com contra filé",0.6
22,Biscoito de polvilho,292.88,52.32,9.04,2.8,0.4,False,Biscoito de polvilho,1.0
23,Biscoito recheado chocolate -Tostines,493.0,66.5,22.6,,,False,"Biscoito, doce, recheado com chocolate",0.6
23,Biscoito recheado morango -Tostines,503.0,67.7,23.4,,,False,"Biscoito, doce, recheado com morango",0.6
25,Bolinho de arroz,355.53,49.54,13.34,8.01,1.32,False,Bolinho de arroz,1.0
26,Bolo de chocolate,358.49,52.44,14.76,5.36,,False,"Bolo, pronto, chocolate",0.667
27,Bombom Alpino chocolate ao leite,568.0,54.6,35.8,,,False,"Chocolate, ao leite",0.6
28,Brócolis (cozido),28.0,5.07,0.35,2.99,3.0,False,"Brócolis, cozido",1.0
28,Brócolis (cru),28.0,5.25,0.35,2.99,3.0,False,"Brócolis, cru",1.0
29,Broto de feijão (cru),30.0,5.94,0.18,3.05,1.8,False,"Feijão, broto, cru",1.0
29,Café em pó,41.0,13.4,1.7,5.0,0.0,False,"Café, pó, torrado",0.667
30,Calda de chocolate meio amargo,264.0,62.8,0.9,,,False,"Chocolate, meio amargo",0.75
30,Caldo de cana,82.0,20.5,0.1,0.3,0.4,False,"Cana, caldo de",1.0
31,Capuccino em pó,427.97,43.93,19.07,20.9,0.45,False,"Capuccino, pó",1.0
31,Cará (cozido) I,16.0,27.6,0.14,1.5,3.9,False,"Cará, cozido",0.667
31,Cará (cru),118.0,27.9,0.17,1.54,4.1,False,"Cará, cru",1.0
31,Carne bovina assada (Patinho),270.97,0.47,17.55,25.99,0.08,False,"Carne, bovina, costela, assada",0.6
32,Carne bovina seca (charque),441.0,,29.0,42.0,,False,"Carne, bovina, charque, cozido",0.6
32,Castanha de caju torrada com sal,574.0,32.7,46.4,15.3,3.2,False,"Castanha-de-caju, torrada, salgada",0.6
32,Castanha de caju torrada sem sal,574.0,32.7,46.4,15.3,3.02,False,"Castanha-de-caju, torrada, salgada",0.6
33,Cereal de milho com açúcar,383.3,89.9,0.67,,,False,"Cereal matinal, milho, açúcar",0.75
34,Chá mate com açúcar (infusão),9.45,2.38,0.0,0.07,0.02,False,"Chá, mate, infusão 5%",0.6
34,Chá preto sem açúcar (infusão),1.0,0.3,0.0,0.0,0.0,False,"Chá, preto, infusão 5%",0.6
35,Chocolate ao leite -Lacta®,540.0,58.67,30.67,8.0,0.33,False,"Chocolate, ao leite",0.75
35,Chocolate ao leite-Nestlé®,568.0,54.6,35.8,6.9,,False,"Chocolate, ao leite",0.75
35,Chocolate ao leite para cobertura,568.0,54.6,35.8,,,False,"Chocolate, ao leite, com castanha do Pará",0.667
35,Chocolate com leite e castanha de,546.1,54.17,32.5,,,False,"Chocolate, ao leite, com castanha do Pará",0.6
35,"Chocolate com leite, caju e passas ao",537.2,59.0,,,,False,"Chocolate, ao leite",0.6
37,Chocolate meio amargo -Nestlé®,550.0,62.4,31.9,3.5,,False,"Chocolate, meio amargo",0.75
37,Chocolate SuOair ao leite -Nestlé®,568.0,54.6,35.8,6.9,,False,"Chocolate, ao leite",0.6
38,Chuchu (cozido),24.0,5.1,,0.62,0.58,False,"Chuchu, cozido",1.0
38,Chuchu (cru),24.0,5.41,0.3,0.9,3.0,False,"Chuchu, cru",1.0
38,Clara de ovo de galinha,50.0,1.04,0.0,10.5,0.0,False,"Ovo, de galinha, clara, cozida/10minutos",0.6
