page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect
10,Abacate,161.0,7.4,15.3,1.99,4.1,False
10,Abacaxi,49.0,12.4,0.43,0.39,1.2,False
10,Abóbora moranga (cozida),19.99,4.88,0.08,0.73,0.92,False
10,Abóbora moranga (crua),40.0,9.8,0.3,1.2,0.6,False
10,Abobrinha (cozida),20.0,4.32,0.31,0.91,1.4,False
10,Abobrinha (crua),20.0,4.36,0.21,1.19,1.9,False
10,Abobrinha (frita),146.36,9.07,11.98,1.71,1.77,False
10,Abobrinha frita (passada no ovo),193.89,15.69,13.19,3.78,1.97,False
10,"Açaí com banana, granola e mel",246.6,42.0,16.0,3.59,,False
10,Acarajé,278.0,22.3,15.6,13.1,1.8,False
10,Acelga (cozida),20.0,4.15,0.08,1.89,2.1,False
10,Acelga (crua),19.0,3.75,0.2,1.81,1.6,False
10,Acerola,31.6,7.6,0.3,0.4,1.12,False
10,Achocolatado dietético em pó-Gold®,327.8,57.0,5.6,12.2,,False
10,Achocolatado em pó -Tal & Qual®,306.0,68.54,7.96,10.98,12.06,False
11,Açúcar cristal,387.0,99.9,0.0,,,False
11,I o.oo,0.0,0.0,0.0,0.0,0.0,False
11,Açúcar mascavo,376.0,97.3,0.0,0.0,0.0,False
11,Açúcar refinado,387.0,99.9,0.0,0.0,0.0,False
11,Ades® (sabor abacaxi),44.0,10.0,0.2,0.6,,False
11,Ades® (sabor laranja),44.0,10.0,0.2,0.6,,False
11,Ades® (sabor pêssego),44.0,10.0,0.2,0.6,,False
11,Adoçante em pó -Tal & Qual®,367.0,91.75,,,,False
11,Adoçante em pó -Aspasweet®,397.5,,,,,False
11,Adoçante em pó -Doce Menor®,367.5,,,,,False
11,Adoçante em pó -Finn®,400.0,,,,,False
11,Adoçante em pó -Frutak®,350.0,,,,,False
11,Adoçante em pó -Zero Cal®,400.0,,,,,False
11,Adoçante em pó frutose- Vepê®,400.0,,,,,False
11,Adoçante granular -Splenda®,400.0,,0.0,,,False
12,Adoçante líquido -Doce Menor®,367.5,,,,,False
12,Agrião,17.22,2.03,0.3,1.6,1.47,False
12,Água,0.0,0.0,0.0,0.0,0.0,False
12,Água de coco verde,19.0,3.72,0.2,0.72,1.11,False
12,Água de coco verde -Ducôco®,20.0,5.5,0.05,0.1,,False
12,Água de coco verde -Quero Coco®,19.0,5.0,0.05,0.1,,False
12,Água de coco verde -Trairi®,22.0,4.78,0.2,0.3,,False
12,"Água tônica ""diet"" -Antartica®",0.6,,,,,False
12,Aipo (cru),16.0,3.66,0.14,0.75,1.5,False
12,Alcachofra (cozida),50.0,11.2,0.16,3.49,5.4,False
12,Alcarávia seca,333.0,49.9,14.6,19.8,38.0,False
12,Alcatra (crua),283.24,0.0,18.42,27.42,0.0,False
12,Alc.atra sem capa gordura (crua),201.88,0.0,8.01,30.38,0.0,False
12,Alecrim seco,331.0,64.1,15.2,4.88,35.3,False
13,Alface crespa,13.0,2.1,0.19,1.02,1.0,False
13,Alface lisa,18.0,3.51,0.3,1.31,1.27,False
13,Alface romana,16.0,2.28,0.2,1.63,1.27,False
13,Alho,149.0,33.1,0.5,6.37,2.1,False
13,Alho poró,61.0,14.2,0.3,1.51,2.5,False
13,"Ali Bran -Kellogg's® 233, I O",73.26,3.33,0.17,13.32,29.97,False
13,Almeirão,23.0,4.71,0.3,1.71,3.81,False
13,Almôndega de carne bovina frita,276.6,7.39,17.41,21.16,0.47,False
13,Almôndega de carne bovina frita com,255.96,7.38,15.96,19.5,0.56,False
13,Almôndega de Peru Califórnia -Sadia® I,86.0,,12.7,13.9,,False
13,Amaciante de carnes -Maggi®,138.0,16.9,3.0,10.8,,False
13,Ameixa preta seca,239.0,62.7,0.52,2.62,9.25,False
13,Ameixa vermelha,55.0,13.0,0.62,0.79,1.95,False
13,Amêndoa seca,589.0,20.4,52.2,20.0,9.5,False
13,Amêndoa torrada com sal,587.0,24.2,51.6,16.3,9.95,False
14,Amêndoa torrada sem sal,587.0,24.2,51.6,,,False
14,1,16.3,9.95,1.13,20.0,,False
14,Amendoim cru com pele,1570.0,15.8,49.6,26.2,6.33,True
14,Amendoim torrado com sal,1570.0,15.8,49.6,26.2,6.33,True
14,Amido de milho-Maizena PADRÃO,381.0,91.3,0.05,0.26,0.9,False
14,Apresuntado,1463.0,1.1,45.2,11.9,0.0,True
14,Arenque (cru),1158.0,0.0,9.05,18.0,0.0,True
14,Arenque defumado,217.0,0.0,12.4,24.6,0.0,False
14,Arroz branco (cozido),124.69,25.47,1.18,2.32,0.49,False
14,Arroz branco (cru),365.0,80.0,0.66,7.14,1.3,False
