page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
10,Abobrinha (frita),146.36,9.07,11.98,1.71,1.77,False,"Mandioca, frita",0.333
10,Abobrinha frita (passada no ovo),193.89,15.69,13.19,3.78,1.97,False,"Mandioca, frita",0.167
10,"Açaí com banana, granola e mel",246.6,42.0,16.0,3.59,,False,Granola,0.25
10,Acelga (cozida),20.0,4.15,0.08,1.89,2.1,False,"Acelga, crua",0.333
11,Açúcar de confeiteiro,389.0,99.5,0.1,0.0,0.0,False,"Açúcar, cristal",0.333
11,Ades® (sabor laranja),44.0,10.0,0.2,0.6,,False,"Laranja, baía, crua",0.2
11,Adoçante granular -Splenda®,400.0,,0.0,,,False,Adoçante em pó,0.25
12,Adoçante líquido -Doce Menor®,367.5,,,,,False,"Polvilho, doce",0.2
12,"Água tônica ""diet"" -Antartica®",0.6,,,,,False,"Refrigerante, tipo água tônica",0.333
12,Alcachofra (cozida),50.0,11.2,0.16,3.49,5.4,False,"Berinjela, cozida",0.333
12,Alcarávia seca,333.0,49.9,14.6,19.8,38.0,False,"Carne, bovina, seca, cozida",0.2
12,Alcatra (crua),283.24,0.0,18.42,27.42,0.0,False,"Acelga, crua",0.333
12,Alc.atra sem capa gordura (crua),201.88,0.0,8.01,30.38,0.0,False,"Carne, bovina, capa de contra-filé, com gordura, crua",0.333
12,Alecrim seco,331.0,64.1,15.2,4.88,35.3,False,,0.0
13,Alface romana,16.0,2.28,0.2,1.63,1.27,False,"Alface, americana, crua",0.25
13,"Ali Bran -Kellogg's® 233, I O",73.26,3.33,0.17,13.32,29.97,False,,0.0
13,Almôndega de carne bovina frita,276.6,7.39,17.41,21.16,0.47,False,"Carne, bovina, almôndegas, cruas",0.333
13,Almôndega de carne bovina frita com,255.96,7.38,15.96,,,False,"Carne, bovina, almôndegas, cruas",0.333
13,Almôndega de Peru Califórnia -Sadia® I,86.0,,12.7,13.9,,False,"Peru, congelado, assado",0.143
13,Amaciante de carnes -Maggi®,138.0,16.9,3.0,10.8,,False,,0.0
13,Ameixa preta seca,239.0,62.7,0.52,2.62,9.25,False,"Ameixa, crua",0.25
13,Ameixa vermelha,55.0,13.0,0.62,0.79,1.95,False,"Ameixa, crua",0.333
13,Amêndoa seca,589.0,20.4,52.2,20.0,9.5,False,"Amêndoa, torrada, salgada",0.25
14,Amendocrem®,615.0,23.0,49.0,20.0,,False,,0.0
14,Arenque (cru),158.0,0.0,9.05,18.0,0.0,False,"Agrião, cru",0.333
14,Arenque defumado,217.0,0.0,12.4,24.6,0.0,False,,0.0
14,Arroz com lentilhas I,253.94,,2.18,10.98,4.49,False,Arroz carreteiro,0.25
14,Arroz doce,169.33,32.99,2.32,1.0,3.91,False,"Polvilho, doce",0.333
14,Arroz doce-Quase Pronto®*,708.0,,17.2,17.6,,False,"Polvilho, doce",0.2
15,Arroz Jlrimavera legumes -Knorr®*,119.0,24.73,0.7,2.73,,False,Arroz carreteiro,0.2
15,Arroz suíço -Knorr®*,125.3,23.0,1.73,3.6,,False,Arroz carreteiro,0.25
15,AsJlargo (cru),23.0,4.55,0.2,2.29,2.1,False,"Agrião, cru",0.333
15,AsJlargo em conserva,19.0,2.49,0.65,2.15,1.6,False,"Tremoço, em conserva",0.333
15,A veia em flocos -Quaker® 39o.oo,61.0,10.0,,12.0,10.0,False,"Aveia, flocos, crua",0.143
15,Avocado,176.8,6.94,17.34,2.08,2.72,False,,0.0
15,Avocado-Jaguacy®,176.47,,,2.11,4.8,False,,0.0
15,Azeitona Jlreta,115.0,6.27,10.7,0.84,3.0,False,"Azeitona, preta, conserva",0.25
16,Bacalhau seco,290.0,0.0,2.38,62.8,0.0,False,"Bacalhau, salgado, cru",0.25
16,Bacalhoada,169.08,7.79,10.3,11.5,1.08,False,,0.0
16,Bacon,889.0,0.0,98.59,0.0,0.0,False,,0.0
16,"Baconzitos -Elma Chips® 4 71 ,00",62.0,22.2,,5.8,,False,"Batata, frita, tipo chips, industrializada",0.1
16,Bala de caramelo chocolate -Nestlé®,400.0,78.0,,4.0,,False,"Bolo, pronto, chocolate",0.167
16,Bala de caramelo e coco -Nestlé®,400.0,78.0,,4.0,,False,"Coco, água de",0.2
16,Bala de caramelo leite -Nestlé®,400.0,78.0,,4.0,,False,Creme de Leite,0.2
16,Bala Frumelo -Lacta®,422.2,82.22,8.89,6.67,,False,,0.0
16,Bala Mentex de hortelã -Nestlé®,382.6,95.65,,,,False,,0.0
16,Bala recheada -Lacta®,375.0,95.83,,,,False,,0.0
16,Banana,92.0,23.4,0.48,1.04,2.03,False,"Banana, da terra, crua",0.333
16,"Banana ""split"" (banana, sorvetes,",264.04,34.82,13.83,,,False,"Banana, da terra, crua",0.2
17,Bonuno ilmiluncsu,184.95,23.86,,1.21,1.7,False,,0.0
17,Banana caramelada,228.77,58.87,0.26,0.55,1.08,False,"Banana, da terra, crua",0.25
17,Banana frita,225.53,19.4,17.28,0.86,,False,"Mandioca, frita",0.333
17,"Batata assada com ""crearn cheese"" c",232.53,15.55,18.05,,,False,"Sardinha, assada",0.167
17,Batata frita- Me Donald's®,329.8,37.6,17.6,4.6,,False,"Batata, inglesa, frita",0.333
18,Batata frita original crisps l/3 less fat,500.0,67.86,25.0,,,False,"Batata, inglesa, frita",0.222
18,Batata frita sabor cebola -Pringles®,571.4,53.57,35.71,7.14,3.57,False,"Batata, inglesa, frita",0.333
18,Batata frita sabor queijo -Pringles®,535.7,50.0,35.71,7.14,3.57,False,"Batata, inglesa, frita",0.333
18,Batata palha,181.38,17.56,12.06,0.51,1.14,False,"Batata, baroa, cozida",0.25
18,"Bebida láctea batida com mel, cálcio,",36.0,5.1,,,,False,"Bebida láctea, pêssego",0.333
